Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Miami,Greenery,Eucalyptus Willow Green,$1.05,,2025-12-02 13:15:01,,,Pepperberry Hanging Pink,,,,,,,$1.25,,,,$1.25
Miami,Greenery,Fruiting Branches Olive Green,$1.05,$1.10,2025-11-17 13:22:59,,,Phlox Assorted,,,,,,,,,,#NUM!,#NUM!
Miami,Greenery,Huckleberry Green,$1.02,$1.05,2025-12-10 11:48:55,,,Pittosporum Pitto Nigra Variegated,,#NUM!,,,,,$1.25,,,,$1.25
Miami,Greenery,Lemon/Salal Tips Green,$0.78,$0.73,2025-11-25 13:52:49,,,Pittosporum Silver Queen Variegated,,,#NUM!,,,,,,,,#NUM!
Miami,Greenery,Leyland Cypress Green,$1.15,$1.13,2025-12-16 13:12:11,,,Pittosporum Variegated,,#NUM!,,,,,#NUM!,,,,#NUM!
Miami,Greenery,Mixed Xmas Greens Evergreen,$1.25,,2025-12-02 13:15:01,,,Plumosa Green,,,,,,,$0.85,,,,$0.85
Miami,Greenery,Nagi Foliage Green,$1.02,,2025-12-29 13:45:40,,,Pod Clematis White,,,,,,,$2.25,,,,$2.25
Miami,Greenery,Pittosporum Pitto Nigra Variegated,$1.25,,2026-01-19 13:36:52,,,Pompon Button Green,,,,,,,$0.60,,,,$0.60
Miami,Greenery,Preserved Italian Ruscus Bleached White,$1.85,,2025-11-11 13:58:43,,,Pompon Button Lexy Bronze,,,,,,,$0.60,,,,$0.60
Miami,Greenery,Princess Pine Green,$1.35,,2025-12-02 13:15:01,,,Pompon Button White,,,,,,,,,,$0.70,$0.70
Miami,Greenery,Ruscus Israeli Green,$0.63,,2026-01-05 14:05:08,,,Pompon Cushion Burgundy,,,,,,,$0.60,,,,$0.60
Miami,Greenery,Ruscus Italian Green 100 cm,$1.35,$1.12,2026-02-17 12:09:58,,,Pompon Cushion Red,,,,,,,$0.36,$0.60,,,$0.48
Miami,Greenery,Spruce Baby Tree Green,$12.50,,2025-12-02 13:15:01,,,Pompon Cushion Veronica Salmon,,,,,,,$0.60,,,,$0.60
Miami,Greenery,Sword Fern Green,$0.95,$0.85,2026-01-27 14:02:45,,,Preserved Bleached Fern White,,,,,,,$2.25,,,,$2.25
Miami,Greenry,Fritillaria Meleagris Variegated Purple,$1.95,,2026-02-11 11:49:46,,,Preserved Hanging Amaranthus White,,,,,,,#NUM!,,,,#NUM!
Miami,Helleborus,Helleborus Queens Red,$4.65,,2026-02-11 11:49:46,,,Preserved Italian Ruscus Bleached White,,,,,,,$1.85,,,,$1.85
Miami,Helleborus,Helleborus Winterbells Green/White,$2.95,,2026-02-17 12:09:07,,,Princess Pine Green,,,,,,,$1.35,,,,$1.35
Miami,Hydrangea,Hydrangea Antique Green,$4.50,,2025-11-25 13:54:10,,,Protea King Pink,,,,,,,$22.00,,,,$22.00
Miami,Hydrangea,Hydrangea Light Blue Medium,$1.97,$1.44,2025-12-01 10:44:58,,,Queen Annes Lace Chocolate Brown,,,,,,,$1.47,,,,$1.47
Miami,Hydrangea,Hydrangea Mojito Green,$2.25,$2.15,2025-11-25 13:54:10,,,Queen Annes Lace White,,,,,,,$1.10,,,,$1.10
Miami,Hydrangea,Hydrangea Mojito Green,$2.25,$1.95,2026-02-16 11:25:03,,,Ranunculus Blush,,,,,,,$2.15,,,,$2.15
Miami,Hydrangea,Hydrangea Mojito Green Medium,$1.85,$2.25,2025-11-25 13:49:52,,,Ranunculus Clooney Pink,,,,$5.95,,,,,,,$5.95
Miami,Hydrangea,Hydrangea White Medium,$1.97,$1.44,2026-01-06 12:29:47,,,Ranunculus Cream,$2.40,,,,,,,,,,$2.40
Miami,Hypericum,Hypericum Burgundy,$0.85,,2025-11-11 13:50:31,,,Ranunculus Light Pink,,,#NUM!,,,,,,,,#NUM!
Miami,Hypericum,Hypericum Ivory,$0.85,,2025-11-11 13:50:31,,,Ranunculus Spray Butterfly Ariadne Blush,,,,,,,$3.45,,,,$3.45
Miami,Hypericum,Hypericum Rocky Romance,$0.85,,2025-12-09 14:17:52,,,Ranunculus Spray Butterfly Eris Salmon,$3.00,,,,,,,,,,$3.00
Miami,Larkspur,Larkspur White,$1.15,,2026-01-05 14:05:08,,,Ranunculus Spray Butterfly Pink,,,#NUM!,,,,,,,,#NUM!
Miami,Lily,Lily Asiatic Orange,$2.25,,2026-02-17 12:10:27,,,Ranunculus White,,,,$2.10,,,$2.25,,,,$2.18
Miami,Lily,Lily Oriental Light Pink,$3.25,,2025-11-11 13:48:11,,,Rose Amnesia Antique Lavender,,,,,,,$1.50,,,,$1.50
Miami,Lily,Lily Oriental White,$2.85,$3.25,2026-02-10 13:22:50,,,Rose Barista Mauve,,,#NUM!,,,,,,,,#NUM!
Miami,Limonium,Limonium Misty White,$1.05,,2025-12-09 14:18:56,,,Rose Black Baccara Dark Red,,,,,,,$1.75,,,,$1.75
Miami,Limonium,Limonium Misty White White,$1.05,,2026-02-10 13:23:49,,,Rose Black Magic Dark Red,,,,,,,,$2.95,,,$2.95
Miami,Limonium,Limonium White,$1.05,,2025-11-11 13:54:16,,,Rose Cappuccino Beige,,,,,,,$2.75,,,,$2.75
Miami,Lisianthus,Lisianthus Brown,$4.85,$5.25,2026-01-19 13:36:52,,,Rose Cream/Blush,,,,,,,$1.35,,,,$1.35
Miami,Lisianthus,Lisianthus Purple,$3.25,$3.85,2026-02-03 11:34:23,,,Rose Escimo White,,,,,,,$1.35,,,,$1.35
Miami,Lisianthus,Lisianthus White,$2.85,$3.25,2026-01-28 11:36:32,,,Rose Faith Mauve,,,,,,,$1.50,,,,$1.50
Miami,Moss,Moss Sheet Green,$4.95,$5.50,2026-02-11 11:49:46,,,Rose Garden Keira Blush,$4.50,,,$3.65,,,,,,,$4.08
Miami,Open Cut Calla Lily,Calla Lily Super White,$3.50,,2025-11-11 13:47:11,,,Rose Garden Wedding Spirit Blush 50cm,,,,,,,$1.05,,,,$1.05
